2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:32,047 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:32,233 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:32,401 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:32,673 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:32,827 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:33,033 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:33,261 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:33,578 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:33,940 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:34,194 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:34,569 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:34,908 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,049 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,206 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,334 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,602 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,843 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:35,962 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:36,229 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:36,697 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:36,892 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:37,146 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:37,350 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:39,886 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:40,278 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:40,637 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:55,135 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:01,770 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:07,905 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:08,032 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:08,177 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:08,353 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:08,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:17:08,576 - INFO - File lives in another DC
2024-11-20 08:17:08,577 - INFO - Connecting to 149.154.175.59:443/TcpFull...
2024-11-20 08:17:10,482 - INFO - Connection to 149.154.175.59:443/TcpFull complete!
